Timestamp,Which year are you in?,How are you feeling right now?,"On a scale of 1-100, how would you express this feeling?",Gender,Age,Your location ?,Relationship status,Are you happy with your financial state?,How much have you succeeded to cope up with the environment of your educational institution?,Understanding with your family members?,Are you feeling pressure in your study or work right now?,Are you satisfied with your academic result?,Are you happy with your living place?,Who supports you when you are not succeeding in your academic life?,Have you used any social media within the last 6 hours?,Do you have inferiority complex? ,Are you satisfied with your meal today?,Are you feeling sick/health issues today?,"Have you done any recreational activity (sports, gaming, hobby etc.) today?",How long did you sleep last night?(in hours)
2021-05-27 21:12:04,4th year,Very good,90,Female,24,Home,Single,Yes,3,Good,Not applicable,Yes,Not applicable,Friends,Yes,Maybe,Neutral,No,Yes,8.0
2021-06-18 21:12:06,4th year,Very good,90,Female,24,Home,Single,Yes,3,Good,Not applicable,Yes,Not applicable,Friends,Yes,Maybe,Neutral,No,Yes,8.0
2021-06-09 21:02:24,4th year,Very good,70,Female,24,Home,Single,Yes,2,Normal,No,Yes,No,Friends,Yes,No,Neutral,Yes,No,8.0
2021-07-05 21:12:29,4th year,Very good,90,Female,24,Home,Single,Yes,3,Good,Not applicable,Yes,Not applicable,Friends,Yes,Maybe,Neutral,No,Yes,8.0
2021-06-08 20:26:40,4th year,Very good,70,Female,24,Home,Single,Yes,2,Normal,No,Yes,No,Friends,Yes,No,Neutral,Yes,No,8.0
2021-06-04 20:09:17,4th year,Very good,70,Female,24,Home,Single,Yes,2,Normal,No,Yes,No,Friends,Yes,No,Neutral,Yes,No,8.0
2021-07-07 21:01:16,4th year,Very good,60,Female,24,Home,Single,Yes,2,Bad,Yes,No,Yes,Friends,No,Yes,Yes,Yes,No,7.0
2021-06-06 21:12:32,4th year,Very good,90,Female,24,Home,Single,Yes,3,Good,Not applicable,Yes,Not applicable,Friends,Yes,Maybe,Neutral,No,Yes,8.0
2021-05-28 21:08:22,4th year,Normal,50,Female,24,Home,Single,Yes,2,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,8.0
2021-06-16 21:01:06,4th year,Very good,60,Female,24,Home,Single,Yes,2,Bad,Yes,No,Yes,Friends,No,Yes,Yes,Yes,No,7.0
2021-06-25 21:05:58,4th year,Very good,60,Female,24,Home,Single,Yes,2,Bad,Yes,No,Yes,Friends,No,Yes,Yes,Yes,No,7.0
2021-05-30 21:02:22,4th year,Very good,70,Female,24,Home,Single,Yes,2,Normal,No,Yes,No,Friends,Yes,No,Neutral,Yes,No,8.0
2021-05-31 21:06:46,4th year,Good,80,Female,24,Home,Single,Yes,2,Good,Yes,Yes,Yes,Friends,Yes,No,Yes,Yes,Yes,7.0
2021-06-09 21:08:43,4th year,Normal,50,Female,24,Home,Single,Yes,2,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,8.0
2021-07-09 20:05:17,4th year,Very good,80,Female,24,Home,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,8.0
2021-06-12 21:08:26,4th year,Normal,50,Female,24,Home,Single,Yes,2,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,8.0
2021-05-19 21:01:08,4th year,Very good,70,Female,24,Home,Single,Yes,2,Normal,No,Yes,No,Friends,Yes,No,Neutral,Yes,No,8.0
2021-05-23 21:08:32,4th year,Normal,50,Female,24,Home,Single,Yes,2,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,8.0
2021-06-03 21:06:44,4th year,Good,80,Female,24,Home,Single,Yes,2,Good,Yes,Yes,Yes,Friends,Yes,No,Yes,Yes,Yes,7.0
2021-07-13 21:12:09,4th year,Very good,90,Female,24,Home,Single,Yes,3,Good,Not applicable,Yes,Not applicable,Friends,Yes,Maybe,Neutral,No,Yes,8.0
2021-07-06 20:26:33,4th year,Very good,70,Female,24,Home,Single,Yes,2,Normal,No,Yes,No,Friends,Yes,No,Neutral,Yes,No,8.0
2021-04-20 21:39:06,4th year,Normal,60,Female,23,Home,Single,No,3,Normal,Yes,Not applicable,Not applicable,No one,Yes,Maybe,No,Yes,No,8.0
